resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states,primary_resource_states
PresignedDomainUrl,resource,['create'],[],"['Space', 'UserProfile']",[],['CreatePresignedDomainUrl'],[],,"['Executing', 'Stopping', 'Stopped', 'Failed', 'Succeeded']"
PresignedNotebookInstanceUrl,resource,['create'],[],['NotebookInstance'],[],['CreatePresignedNotebookInstanceUrl'],[],,"['Executing', 'Stopping', 'Stopped', 'Failed', 'Succeeded']"
ProcessingJob,resource,"['create', 'get', 'list']","['refresh', 'stop']",[],[],"['CreateProcessingJob', 'DescribeProcessingJob', 'ListProcessingJobs', 'StopProcessingJob']","[{'status': 'ProcessingJobStatus', 'status_shape': 'ProcessingJobStatus'}]",,"['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
Project,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateProject', 'DeleteProject', 'DescribeProject', 'ListProjects', 'UpdateProject']","[{'status': 'ProjectStatus', 'status_shape': 'ProjectStatus'}]",,"['Pending', 'CreateInProgress', 'CreateCompleted', 'CreateFailed', 'DeleteInProgress', 'DeleteFailed', 'DeleteCompleted', 'UpdateInProgress', 'UpdateCompleted', 'UpdateFailed']"
Space,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateSpace', 'DeleteSpace', 'DescribeSpace', 'ListSpaces', 'UpdateSpace']","[{'status': 'Status', 'status_shape': 'SpaceStatus'}]",,"['Deleting', 'Failed', 'InService', 'Pending', 'Updating', 'Update_Failed', 'Delete_Failed']"
StudioLifecycleConfig,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateStudioLifecycleConfig', 'DeleteStudioLifecycleConfig', 'DescribeStudioLifecycleConfig', 'ListStudioLifecycleConfigs']",[],,[]
Tags,resource,"['add', 'list']",['delete'],[],[],"['AddTags', 'DeleteTags', 'ListTags']",[],,[]
TrainingJob,resource,"['create', 'get', 'list']","['refresh', 'stop', 'update']",[],[],"['CreateTrainingJob', 'DescribeTrainingJob', 'ListTrainingJobs', 'StopTrainingJob', 'UpdateTrainingJob']","[{'status': 'TrainingJobStatus', 'status_shape': 'TrainingJobStatus'}]",,"['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
TransformJob,resource,"['create', 'get', 'list']","['refresh', 'stop']",['Model'],[],"['CreateTransformJob', 'DescribeTransformJob', 'ListTransformJobs', 'StopTransformJob']","[{'status': 'TransformJobStatus', 'status_shape': 'TransformJobStatus'}]",,"['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
Trial,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['Experiment'],[],"['CreateTrial', 'DeleteTrial', 'DescribeTrial', 'ListTrials', 'UpdateTrial']",[],,[]
TrialComponent,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['AssociateTrialComponent', 'DisassociateTrialComponent']","['AssociateTrialComponent', 'CreateTrialComponent', 'DeleteTrialComponent', 'DescribeTrialComponent', 'DisassociateTrialComponent', 'ListTrialComponents', 'UpdateTrialComponent']","[{'status': 'Status', 'status_shape': 'TrialComponentStatus'}, {'status': 'PrimaryStatus', 'status_shape': 'TrialComponentPrimaryStatus'}]",,"['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
UserProfile,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateUserProfile', 'DeleteUserProfile', 'DescribeUserProfile', 'ListUserProfiles', 'UpdateUserProfile']","[{'status': 'Status', 'status_shape': 'UserProfileStatus'}]",,"['Deleting', 'Failed', 'InService', 'Pending', 'Updating', 'Update_Failed', 'Delete_Failed']"
Workforce,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateWorkforce', 'DeleteWorkforce', 'DescribeWorkforce', 'ListWorkforces', 'UpdateWorkforce']","[{'status': 'Status', 'status_shape': 'WorkforceStatus'}]",,"['Initializing', 'Updating', 'Deleting', 'Failed', 'Active']"
Workteam,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['Workforce'],"['DescribeSubscribedWorkteam', 'ListLabelingJobsForWorkteam', 'ListSubscribedWorkteams']","['CreateWorkteam', 'DeleteWorkteam', 'DescribeSubscribedWorkteam', 'DescribeWorkteam', 'ListLabelingJobsForWorkteam', 'ListSubscribedWorkteams', 'ListWorkteams', 'UpdateWorkteam']",[],,[]
